time,symbol,trade_price,trade_size,trade_side
2018-10-10T17:41:43.727750Z,ES,194000,6,B
2018-10-10T17:41:44.606882Z,ES,193975,1,B
2018-10-10T17:41:44.879312Z,ES,193950,1,B
2018-10-10T17:41:45.236825Z,VX,2505,1,B
2018-10-10T17:41:45.412187Z,VX,2505,5,B
2018-10-10T17:41:45.744940Z,ES,193950,2,B
2018-10-10T17:41:46.716192Z,ES,193950,13,A
2018-10-10T17:41:46.890193Z,ES,193950,2,A
2018-10-10T17:41:47.359826Z,ES,193925,1,B
2018-10-10T17:41:47.488953Z,ES,193925,4,B
2018-10-10T17:41:48.267492Z,ES,193925,8,B
2018-10-10T17:41:49.201997Z,ES,193925,6,B
2018-10-10T17:41:50.254461Z,ES,193925,15,B
2018-10-10T17:41:50.977185Z,ES,193950,1,A
2018-10-10T17:41:51.080395Z,ES,193925,1,B
2018-10-10T17:41:52.219005Z,ES,193925,9,B
2018-10-10T17:41:52.758141Z,ES,193950,3,A
2018-10-10T17:41:52.871731Z,ES,193925,1,B
2018-10-10T17:41:53.995069Z,ES,193925,5,A
2018-10-10T17:41:54.328385Z,ES,193900,20,B
2018-10-10T17:41:54.511174Z,ES,193950,50,A
2018-10-10T17:41:54.608946Z,ES,193925,1,B
2018-10-10T17:41:55.262116Z,ES,193950,2,A
2018-10-10T17:41:56.531224Z,ES,193925,1,B
2018-10-10T17:41:57.650351Z,ES,193925,2,B
2018-10-10T17:41:59.439421Z,VX,2510,1,A
2018-10-10T17:41:59.635596Z,ES,193925,6,B
2018-10-10T17:42:00.373389Z,ES,193925,8,A
2018-10-10T17:42:01.434501Z,ES,193925,5,B
2018-10-10T17:42:01.629374Z,ES,193950,5,A
2018-10-10T17:42:01.977607Z,ES,193925,17,B
2018-10-10T17:42:02.778472Z,ES,193925,1,B
2018-10-10T17:42:04.602740Z,ES,193925,2,A
2018-10-10T17:42:06.006725Z,ES,193950,1,A
2018-10-10T17:42:07.202537Z,ES,193950,3,A
2018-10-10T17:42:07.356545Z,ES,193975,37,A
2018-10-10T17:42:07.607002Z,ES,194025,1,A
2018-10-10T17:42:07.842721Z,ES,194025,9,A
2018-10-10T17:42:08.074166Z,VX,2505,5,A
2018-10-10T17:42:08.257853Z,ES,194025,18,A
2018-10-10T17:42:09.439762Z,ES,194025,2,A
2018-10-10T17:42:10.198097Z,ES,194025,36,A
2018-10-10T17:42:10.311492Z,ES,194000,18,B
2018-10-10T17:42:10.389825Z,ES,194000,6,B
2018-10-10T17:42:11.445676Z,ES,193975,1,B
2018-10-10T17:42:12.862714Z,ES,194000,1,A
2018-10-10T17:42:13.733531Z,ES,194000,2,A
2018-10-10T17:42:14.692219Z,ES,193975,1,B
2018-10-10T17:42:14.823209Z,ES,194000,1,A
2018-10-10T17:42:16.039997Z,ES,194000,2,A
2018-10-10T17:42:16.878325Z,ES,194000,1,A
2018-10-10T17:42:17.040563Z,ES,193975,1,B
2018-10-10T17:42:18.345886Z,ES,194000,1,A
2018-10-10T17:42:18.489130Z,ES,193975,3,B
2018-10-10T17:42:18.632213Z,VX,2505,1,A
2018-10-10T17:42:18.828361Z,ES,193950,57,B
2018-10-10T17:42:18.924684Z,ES,193950,10,B
2018-10-10T17:42:19.793598Z,ES,193950,4,A
2018-10-10T17:42:20.751748Z,ES,193950,6,A
2018-10-10T17:42:21.793329Z,VX,2505,23,B
2018-10-10T17:42:21.960882Z,ES,193925,5,B
2018-10-10T17:42:22.141168Z,ES,193950,3,B
2018-10-10T17:42:22.241961Z,VX,2505,1,B
2018-10-10T17:42:25.910165Z,ES,193950,1,B
2018-10-10T17:42:26.802284Z,ES,193950,3,B
2018-10-10T17:42:27.625799Z,VX,2510,1,A
2018-10-10T17:42:27.961472Z,ES,193975,5,A
2018-10-10T17:42:28.081651Z,ES,193950,3,B
2018-10-10T17:42:29.101305Z,ES,193950,1,A
2018-10-10T17:42:31.094849Z,ES,193950,2,A
2018-10-10T17:42:31.897804Z,ES,193950,12,B
2018-10-10T17:42:32.432637Z,ES,193975,62,A
2018-10-10T17:42:32.652349Z,VX,2505,1,A
2018-10-10T17:42:33.229965Z,ES,193975,25,B
2018-10-10T17:42:33.924850Z,ES,194000,2,A
2018-10-10T17:42:35.053370Z,ES,194000,12,A
2018-10-10T17:42:36.090938Z,ES,194000,1,A
2018-10-10T17:42:37.052114Z,ES,193975,2,B
2018-10-10T17:42:38.184993Z,ES,194000,4,A
2018-10-10T17:42:39.236004Z,ES,194000,7,B
2018-10-10T17:42:39.641444Z,VX,2510,1,A
2018-10-10T17:42:39.841583Z,ES,193975,1,B
2018-10-10T17:42:40.384422Z,VX,2505,2,A
2018-10-10T17:42:40.500557Z,ES,194000,3,A
2018-10-10T17:42:41.098577Z,VX,2505,1,A
2018-10-10T17:42:41.447911Z,ES,194000,13,A
2018-10-10T17:42:43.410660Z,ES,194000,1,B
2018-10-10T17:42:45.382092Z,ES,194025,2,A
2018-10-10T17:42:45.842725Z,ES,194025,5,A
2018-10-10T17:42:47.072382Z,ES,194025,1,A
2018-10-10T17:42:50.501735Z,ES,194000,4,B
2018-10-10T17:42:51.018613Z,VX,2505,1,A
2018-10-10T17:42:51.120181Z,ES,194000,3,A
2018-10-10T17:42:51.555063Z,ES,193975,2,B
2018-10-10T17:42:51.747977Z,VX,2505,4,B
2018-10-10T17:42:52.588735Z,ES,193975,15,B
2018-10-10T17:42:53.641746Z,ES,193950,1,B
2018-10-10T17:42:54.594309Z,ES,193950,12,A
2018-10-10T17:42:55.620224Z,ES,193950,3,B
2018-10-10T17:42:57.198848Z,ES,193925,38,B
2018-10-10T17:42:58.136634Z,ES,193925,8,A
2018-10-10T17:42:58.540477Z,ES,193900,2,B
2018-10-10T17:42:59.002640Z,ES,193925,13,A
2018-10-10T17:42:59.167206Z,ES,193900,1,B
2018-10-10T17:42:59.604795Z,ES,193925,2,A
2018-10-10T17:42:59.928342Z,VX,2510,1,A
2018-10-10T17:43:00.543292Z,ES,193925,1,A
2018-10-10T17:43:00.954519Z,ES,193900,2,B
2018-10-10T17:43:01.900780Z,ES,193875,1,B
2018-10-10T17:43:02.879038Z,ES,193875,33,B
2018-10-10T17:43:03.927356Z,ES,193875,21,B
